seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_38513	3389	No terminal repeats	NA	4	11	0.9814	NA	4	6.3884	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_17263	4297	No terminal repeats	NA	7	11	0.9812	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_54481	1960	No terminal repeats	NA	7	11	0.9812	NA	1	11.8412	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_9149	3710	No terminal repeats	NA	6	11	0.9812	NA	4	9.7741	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_25692	9996	No terminal repeats	NA	16	11	0.9811	NA	4	18.3762	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_35608	19716	No terminal repeats	NA	26	11	0.9811	NA	4	28.1525	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_9637	6518	No terminal repeats	NA	8	11	0.9811	NA	1	10.2333	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_55557	5693	No terminal repeats	NA	10	11	0.9810	NA	1	16.3124	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_754|provirus_7606_59786	52181	Provirus	7606-59786	80	11	0.9809	NA	19	77.2208	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_46712	5325	No terminal repeats	NA	12	11	0.9809	NA	10	17.5441	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_55291	34796	No terminal repeats	NA	51	11	0.9809	NA	14	50.5093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_23748	40477	No terminal repeats	NA	49	11	0.9808	NA	16	62.2420	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_50942	25717	No terminal repeats	NA	31	11	0.9807	NA	13	45.2777	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_640	6724	No terminal repeats	NA	9	11	0.9806	NA	4	10.4633	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_58264	9207	No terminal repeats	NA	16	11	0.9806	NA	1	20.0072	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_56449	23535	No terminal repeats	NA	27	11	0.9806	NA	3	39.9127	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_46160	8234	No terminal repeats	NA	13	11	0.9805	NA	1	16.4133	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_65919	3732	No terminal repeats	NA	6	11	0.9804	NA	1	10.2086	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_54667|provirus_13577_21897	8321	Provirus	13577-21897	7	11	0.9803	NA	0	11.7558	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_40826	6508	No terminal repeats	NA	9	11	0.9803	NA	0	8.0482	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_24560	4299	No terminal repeats	NA	4	11	0.9803	NA	3	5.9792	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_41519	15427	No terminal repeats	NA	21	11	0.9802	NA	2	17.0875	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_12533	3020	No terminal repeats	NA	4	11	0.9801	NA	0	5.2206	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_16386	2968	No terminal repeats	NA	3	11	0.9801	NA	3	5.1539	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_39803	7841	No terminal repeats	NA	14	11	0.9800	NA	1	12.7643	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_44566|provirus_19271_31825	12555	Provirus	19271-31825	13	11	0.9799	NA	3	15.4385	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_65426	47319	No terminal repeats	NA	63	11	0.9798	NA	17	84.0552	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_8110	4259	No terminal repeats	NA	6	11	0.9798	NA	3	10.2611	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_42011	19666	No terminal repeats	NA	20	11	0.9797	NA	9	21.9047	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_25257	6587	No terminal repeats	NA	6	11	0.9797	NA	0	8.0180	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_77831	13140	No terminal repeats	NA	30	11	0.9797	NA	1	33.6375	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_78324	4283	No terminal repeats	NA	3	11	0.9794	NA	1	4.8477	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_68630	5888	No terminal repeats	NA	6	11	0.9794	NA	0	6.0973	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_36046	8096	No terminal repeats	NA	14	11	0.9794	NA	0	12.1929	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_21748	3937	No terminal repeats	NA	8	11	0.9794	NA	0	6.8257	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_54528	3856	No terminal repeats	NA	6	11	0.9794	NA	0	7.9258	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_75882	26846	No terminal repeats	NA	35	11	0.9793	NA	4	42.5209	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_18748	2020	No terminal repeats	NA	3	11	0.9792	NA	3	4.7328	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_74281	33713	No terminal repeats	NA	52	11	0.9792	NA	11	61.3420	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_50803|provirus_21490_53402	31913	Provirus	21490-53402	49	11	0.9792	NA	8	63.0346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_26092	30108	No terminal repeats	NA	48	11	0.9791	NA	8	59.4435	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_45545	9897	No terminal repeats	NA	18	11	0.9791	NA	1	15.7390	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_75259	6642	No terminal repeats	NA	7	11	0.9791	NA	1	6.1784	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_4310	3442	No terminal repeats	NA	5	11	0.9790	NA	1	4.6696	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_24873	3215	No terminal repeats	NA	4	11	0.9789	NA	4	5.9112	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2534	4405	No terminal repeats	NA	4	11	0.9789	NA	0	6.6613	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_64818	49400	No terminal repeats	NA	70	11	0.9787	NA	13	56.7138	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_23083	35836	No terminal repeats	NA	37	11	0.9786	NA	5	44.4403	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_22977	3359	No terminal repeats	NA	4	11	0.9785	NA	0	4.9253	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_52664	5389	No terminal repeats	NA	10	11	0.9785	NA	1	6.6777	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_16107	10568	No terminal repeats	NA	17	11	0.9785	NA	6	21.7973	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_4608	3704	No terminal repeats	NA	5	11	0.9784	NA	2	7.8481	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_21343	6902	No terminal repeats	NA	8	11	0.9784	NA	2	12.4324	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_42679	5264	No terminal repeats	NA	8	11	0.9784	NA	0	7.3668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_28819|provirus_22448_26412	3965	Provirus	22448-26412	6	11	0.9783	NA	0	8.0503	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_23355	28494	No terminal repeats	NA	40	11	0.9783	NA	11	44.3624	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_19067	10831	No terminal repeats	NA	19	11	0.9782	NA	1	10.1688	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_70803	26293	No terminal repeats	NA	29	11	0.9780	NA	3	27.9113	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_64482	5204	No terminal repeats	NA	5	11	0.9780	NA	1	4.6949	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_82528	6671	No terminal repeats	NA	11	11	0.9780	NA	0	10.5159	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_24341	22425	No terminal repeats	NA	29	11	0.9780	NA	5	34.5352	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_9687	3401	No terminal repeats	NA	5	11	0.9779	NA	5	6.6430	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_57324	17223	No terminal repeats	NA	25	11	0.9778	NA	3	32.8985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_68593	18837	No terminal repeats	NA	21	11	0.9778	NA	6	29.9916	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_7281|provirus_51937_84896	32960	Provirus	51937-84896	41	11	0.9777	NA	10	54.3159	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_13165	22819	ITR	NA	33	11	0.9777	NA	3	27.0420	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_45191	11843	No terminal repeats	NA	20	11	0.9776	NA	1	25.0756	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_61757	5583	No terminal repeats	NA	12	11	0.9773	NA	0	7.7891	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_28048	2879	No terminal repeats	NA	8	11	0.9773	NA	0	7.6116	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_58690	1708	No terminal repeats	NA	5	11	0.9773	NA	1	6.8715	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_54007	3061	No terminal repeats	NA	6	11	0.9772	NA	5	10.1398	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_7282|provirus_33234_69049	35816	Provirus	33234-69049	43	11	0.9771	NA	9	57.1971	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_11652	9631	No terminal repeats	NA	20	11	0.9770	NA	3	21.7683	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_26357	139247	DTR	NA	221	11	0.9770	NA	14	215.7330	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_13605	2424	No terminal repeats	NA	3	11	0.9770	NA	2	4.7360	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_27611	58781	No terminal repeats	NA	85	11	0.9770	NA	10	76.4595	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_33511	3687	No terminal repeats	NA	9	11	0.9769	NA	0	11.3524	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_41286	2529	No terminal repeats	NA	5	11	0.9769	NA	1	6.8722	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_56810	7551	No terminal repeats	NA	18	11	0.9769	NA	1	12.6545	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_73441	8292	No terminal repeats	NA	16	11	0.9768	NA	1	14.5419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_58051|provirus_26766_61075	34310	Provirus	26766-61075	51	11	0.9766	NA	10	43.5349	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_40988	2186	No terminal repeats	NA	6	11	0.9765	NA	1	6.8402	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_68985	14608	No terminal repeats	NA	19	11	0.9765	NA	6	20.1612	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_19560	2960	No terminal repeats	NA	5	11	0.9764	NA	3	8.3711	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_39216|provirus_59236_96171	36936	Provirus	59236-96171	60	11	0.9762	NA	11	68.4881	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_38687	7454	No terminal repeats	NA	11	11	0.9762	NA	2	9.4496	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_11342	4140	No terminal repeats	NA	7	11	0.9762	NA	3	11.4884	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_10172	25073	No terminal repeats	NA	42	11	0.9760	NA	10	37.7772	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_77905|provirus_85270_137650	52381	Provirus	85270-137650	63	11	0.9757	NA	9	72.3134	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_57306	3613	No terminal repeats	NA	8	11	0.9757	NA	1	6.4537	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_519|provirus_32890_74817	41928	Provirus	32890-74817	45	11	0.9756	NA	12	66.9202	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_9725	975	No terminal repeats	NA	3	11	0.9756	NA	1	3.2846	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_47681	62697	No terminal repeats	NA	94	11	0.9754	NA	16	91.1194	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_31723	18425	No terminal repeats	NA	28	11	0.9752	NA	1	12.2123	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_76702	2713	No terminal repeats	NA	5	11	0.9751	NA	2	5.6766	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_81340	28712	No terminal repeats	NA	40	11	0.9750	NA	9	46.1441	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_22345	72223	No terminal repeats	NA	97	11	0.9750	NA	11	108.3109	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_49093	3597	No terminal repeats	NA	8	11	0.9749	NA	0	9.4777	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_36664	1331	No terminal repeats	NA	3	11	0.9749	NA	1	4.4579	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_55965|provirus_6795_11638	4844	Provirus	6795-11638	10	11	0.9748	NA	0	7.2345	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_24338	2565	No terminal repeats	NA	4	11	0.9748	NA	0	6.0483	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_15711	4397	No terminal repeats	NA	9	11	0.9747	NA	0	5.3604	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_74967	9035	No terminal repeats	NA	10	11	0.9745	NA	2	12.3290	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_37807	2546	No terminal repeats	NA	6	11	0.9745	NA	4	7.5082	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_33705	5242	No terminal repeats	NA	8	11	0.9744	NA	0	5.9933	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_49665	68933	No terminal repeats	NA	103	11	0.9743	NA	19	82.2736	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_35618	2932	No terminal repeats	NA	8	11	0.9743	NA	0	4.3659	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_50353	2078	No terminal repeats	NA	3	11	0.9743	NA	2	4.9786	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_21231	2377	No terminal repeats	NA	7	11	0.9742	NA	4	10.1884	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_63715	875	No terminal repeats	NA	3	11	0.9740	NA	1	5.0953	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_59380	39096	No terminal repeats	NA	53	11	0.9739	NA	6	27.9734	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2578	5237	No terminal repeats	NA	8	11	0.9737	NA	4	9.7703	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_64412	4621	No terminal repeats	NA	4	11	0.9734	NA	3	4.4100	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_30866	2503	No terminal repeats	NA	10	11	0.9734	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_55145	2670	No terminal repeats	NA	6	11	0.9732	NA	0	6.6869	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_38974	2156	No terminal repeats	NA	6	11	0.9729	NA	1	6.1395	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_73443	7424	No terminal repeats	NA	17	11	0.9728	NA	3	9.0846	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_12831	3588	No terminal repeats	NA	7	11	0.9725	NA	3	9.9104	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_53663	1799	No terminal repeats	NA	4	11	0.9724	NA	3	4.7187	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3725	9088	No terminal repeats	NA	16	11	0.9723	NA	0	9.1456	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_59509|provirus_37903_47384	9482	Provirus	37903-47384	10	11	0.9723	NA	2	9.1230	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_44822|provirus_37276_47242	9967	Provirus	37276-47242	10	11	0.9721	NA	2	14.9468	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_19017	3784	No terminal repeats	NA	4	11	0.9719	NA	0	4.4158	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_18711	4786	No terminal repeats	NA	7	11	0.9719	NA	1	4.2669	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_46346|provirus_154_5034	4881	Provirus	154-5034	7	11	0.9718	NA	1	8.3859	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_29938	2165	No terminal repeats	NA	2	11	0.9717	NA	1	3.0180	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_21562	3333	No terminal repeats	NA	4	11	0.9717	NA	2	5.7130	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_11421|provirus_11076_22153	11078	Provirus	11076-22153	19	11	0.9716	NA	2	12.6125	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_28066	9301	No terminal repeats	NA	9	11	0.9715	NA	0	5.7809	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_15135	1206	No terminal repeats	NA	3	11	0.9713	NA	1	4.7397	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_15175	1708	No terminal repeats	NA	3	11	0.9713	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_48807	8887	No terminal repeats	NA	11	11	0.9711	NA	0	13.2046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_54239	2976	No terminal repeats	NA	7	11	0.9710	NA	3	8.9051	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_44453	9351	No terminal repeats	NA	8	11	0.9710	NA	2	8.2591	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_31109	3099	No terminal repeats	NA	6	11	0.9709	NA	2	5.1521	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_18715	2097	No terminal repeats	NA	2	11	0.9709	NA	2	2.4887	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_7185	723	No terminal repeats	NA	2	11	0.9707	NA	1	3.3041	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_28034	2900	No terminal repeats	NA	7	11	0.9706	NA	0	5.8933	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_9641	15070	No terminal repeats	NA	29	11	0.9705	NA	0	17.5610	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_77096	20578	No terminal repeats	NA	29	11	0.9702	NA	14	33.6143	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_4644	4517	No terminal repeats	NA	4	11	0.9702	NA	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_54158	5355	No terminal repeats	NA	12	11	0.9702	NA	0	5.3061	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
