Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin.33	40.5	0.2	Neural Network (Specific Model)	11	0.911	44043	286.8257345491388	929640	0.3	987	31	102937	None
bin.34	27.16	0.01	Neural Network (Specific Model)	11	0.871	73045	330.41910966340936	1047181	0.47	921	22	110251	None
bin.35	6.33	0.01	Neural Network (Specific Model)	11	0.868	24574	283.5781990521327	206066	0.51	211	13	53193	None
bin.36	95.11	11.42	Neural Network (Specific Model)	11	0.887	12406	280.86269354367516	3241652	0.34	3423	371	63259	None
bin.37	40.25	0.74	Gradient Boost (General Model)	11	0.914	4486	275.81442392260334	1027600	0.6	1137	235	14797	None
bin.38	10.86	0.0	Neural Network (Specific Model)	11	0.866	117511	316.12	273531	0.52	250	4	129621	None
bin.39	18.54	0.01	Neural Network (Specific Model)	11	0.865	129586	291.04824561403507	458970	0.41	456	6	218680	None
bin.4	55.75	0.02	Neural Network (Specific Model)	11	0.872	85828	296.9679098005204	1176483	0.52	1153	19	117145	None
bin.40	86.24	0.37	Gradient Boost (General Model)	11	0.887	178693	323.03651505445225	1703005	0.52	1561	17	284507	None
bin.41	8.85	0.0	Neural Network (Specific Model)	11	0.892	46964	332.4142394822006	344722	0.55	309	9	64044	None
bin.42	19.57	0.12	Neural Network (Specific Model)	11	0.859	42718	334.6122807017544	664934	0.41	570	31	62576	None
bin.43	47.17	0.68	Neural Network (Specific Model)	11	0.885	7507	285.9891657638137	893389	0.44	923	141	21284	None
bin.44	70.32	0.28	Gradient Boost (General Model)	11	0.888	6442	304.46284634760707	1630823	0.61	1588	283	24442	None
bin.45	7.75	0.0	Neural Network (Specific Model)	11	0.867	31647	303.49795918367346	257040	0.46	245	11	74704	None
bin.46	31.49	0.0	Neural Network (Specific Model)	11	0.912	4072	284.22536585365856	955891	0.48	1025	227	14228	None
bin.47	33.91	0.24	Neural Network (Specific Model)	11	0.903	113973	295.0962343096234	934784	0.3	956	18	124268	None
bin.48	34.58	0.05	Neural Network (Specific Model)	11	0.892	67463	319.92606516290726	857083	0.53	798	16	124643	None
bin.5	14.19	0.0	Neural Network (Specific Model)	11	0.894	135497	322.2710280373832	231050	0.43	214	3	135497	None
bin.6	52.03	0.08	Neural Network (Specific Model)	11	0.89	45313	329.9137055837563	1530670	0.49	1379	49	119074	None
bin.7	48.91	0.07	Gradient Boost (General Model)	11	0.9	40762	295.7687132043734	1169956	0.3	1189	46	132517	None
bin.8	64.92	4.15	Gradient Boost (General Model)	11	0.909	82684	302.2310838445808	1948499	0.31	1956	37	199845	None
bin.9	12.01	0.0	Neural Network (Specific Model)	11	0.917	3968	274.2180293501048	426943	0.44	477	110	9308	None
